,trajectory,time,status,moving,age_seconds,origin_marker,lon,lat,z,wind_drift_factor,current_drift_factor,terminal_velocity,diameter,density,dead,x_sea_water_velocity,y_sea_water_velocity,sea_surface_height,sea_surface_wave_significant_height,sea_ice_area_fraction,x_wind,y_wind,land_binary_mask,sea_floor_depth_below_sea_level,ocean_vertical_diffusivity,ocean_mixed_layer_thickness,sea_water_temperature,sea_water_salinity,surface_downward_x_stress,surface_downward_y_stress,turbulent_kinetic_energy,turbulent_generic_length_scale,upward_sea_water_velocity,fe,no3,po4,si,distance,kd,chl
1491,20,2025-12-05 04:56:18.211162,0.0,1.0,111600.0,0.0,75.52698,9.910031,-0.27956894,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.04602292,-0.1544398,0.0,0.021069642,0.0,-0.8674006,0.3226543,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5905851611499882,0.07937548,0.5688393
1492,20,2025-12-05 05:56:18.211162,0.0,1.0,115200.0,0.0,75.52849,9.905005,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.007865205,-0.20779103,0.0,0.017451316,0.0,-0.8355363,0.10621778,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5956761567939979,0.07937548,0.5688393
1493,20,2025-12-05 06:56:18.211162,0.0,1.0,118800.0,0.0,75.52874,9.898242,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.017900458,-0.21467774,0.0,0.0002168968,0.0,0.03759712,-0.086043015,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6024439210313154,0.07937548,0.5688393
1494,20,2025-12-05 07:56:18.211162,0.0,1.0,122400.0,0.0,75.52815,9.891254,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.04276219,-0.21666075,0.0,0.024225399,0.0,0.9526936,-0.27775398,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6093962063833321,0.07937548,0.5688393
1495,20,2025-12-05 08:56:18.211162,0.0,1.0,126000.0,0.0,75.52675,9.884203,-0.39723706,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.06489441,-0.21205464,0.0,0.08999386,0.0,1.8533763,-0.47252896,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6163777158870521,0.07937548,0.5688393
1496,20,2025-12-05 09:56:18.211162,0.0,1.0,129600.0,0.0,75.52462,9.877301,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.060771845,-0.21876107,0.0,0.13626577,0.0,2.261685,-0.6511836,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6231853035845281,0.07937548,0.5688393
1497,20,2025-12-05 10:56:18.211162,0.0,1.0,133200.0,0.0,75.52263,9.870181,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.051298458,-0.22019021,0.0,0.18839897,0.0,2.6400363,-0.8298815,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.630225300371985,0.07937548,0.5688393
1498,20,2025-12-05 11:56:18.211162,0.0,1.0,136800.0,0.0,75.52094,9.863014,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.041597035,-0.22107421,0.0,0.2495657,0.0,3.0206106,-1.010376,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6373299605263864,0.07937548,0.5688393
1499,20,2025-12-05 12:56:18.211162,0.0,1.0,140400.0,0.0,75.51958,9.855819,-1.258909,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.03900996,-0.18451405,0.0,0.23720706,0.0,2.775994,-1.3915533,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6444786612284609,0.07937548,0.5688393
1500,20,2025-12-05 13:56:18.211162,0.0,1.0,144000.0,0.0,75.52086,9.849813,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.13806838,-0.19739188,0.0,0.23255421,0.0,2.5038068,-1.7844815,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6505210397554563,0.07937548,0.5688393
